City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
655,Kapoeta,SS,82.38,clear sky,4.7717,33.5903,Eastgate Hotel
658,Anori,BR,74.35,overcast clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
660,Pathein,MM,80.17,clear sky,16.7833,94.7333,Pathein Hotel
666,Cururupu,BR,73.04,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
670,Buta,CD,70.95,broken clouds,2.7858,24.73,HOTEL BISO NA BISO
672,Pundaguitan,PH,81.57,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
677,Morondava,MG,74.41,clear sky,-20.2833,44.2833,La Case Bambou
678,Purnia,IN,76.3,clear sky,25.7833,87.4667,Hotel Hira Residency
680,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
682,Omboue,GA,75.58,light rain,-1.5746,9.2618,Hotel Olako
685,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
688,Nacala,MZ,72.91,light rain,-14.5428,40.6728,Nacala Plaza Business Design Hotel
690,Kaeo,NZ,72.9,overcast clouds,-35.1,173.7833,Bushido Lodge
694,Padra,IN,75.29,haze,22.2333,73.0833,hotel rajawat
698,Mucurapo,TT,78.26,overcast clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
700,Dorado,PR,76.71,clear sky,18.4588,-66.2677,Embassy Suites by Hilton Dorado del Mar Beach Resort
701,Gambela,ET,83.79,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
702,Minab,IR,73.31,clear sky,27.1467,57.0801,Bam campground
704,Mazamari,PE,70.61,overcast clouds,-11.3258,-74.5308,Hospedaje Ratto
